id_huesped_reserva,id_reserva,id_cliente,rol
321,192,693,titular
322,192,741,acompanante
323,193,566,titular
324,194,175,titular
325,194,483,acompanante
326,195,562,titular
327,195,731,acompanante
328,195,695,acompanante
329,196,714,titular
330,196,664,acompanante
331,197,659,titular
332,198,531,titular
333,198,10,acompanante
334,198,740,acompanante
335,198,619,acompanante
336,198,497,acompanante
337,199,373,titular
338,200,135,titular
339,200,528,acompanante
340,201,758,titular
341,201,470,acompanante
342,201,531,acompanante
343,201,660,acompanante
344,202,175,titular
345,203,756,titular
346,203,668,acompanante
347,203,548,acompanante
348,203,473,acompanante
349,204,566,titular
350,205,552,titular
351,205,515,acompanante
352,206,373,titular
353,206,721,acompanante
354,206,383,acompanante
355,207,719,titular
356,207,472,acompanante
357,208,579,titular
358,209,318,titular
359,210,774,titular
360,210,522,acompanante
361,211,323,titular
362,211,70,acompanante
363,212,40,titular
364,212,543,acompanante
365,213,43,titular
366,214,94,titular
367,214,785,acompanante
368,214,250,acompanante
369,215,593,titular
370,215,235,acompanante
371,216,41,titular
372,216,295,acompanante
373,216,595,acompanante
374,216,480,acompanante
375,216,71,acompanante
376,217,386,titular
377,217,715,acompanante
378,218,420,titular
379,218,403,acompanante
380,219,704,titular
381,219,741,acompanante
382,219,465,acompanante
383,219,191,acompanante
384,219,18,acompanante
385,219,593,acompanante
386,220,579,titular
387,220,633,acompanante
388,221,138,titular
389,221,606,acompanante
390,221,218,acompanante
391,221,193,acompanante
392,222,86,titular
393,223,275,titular
394,224,551,titular
395,225,58,titular
396,225,749,acompanante
397,226,680,titular
398,226,295,acompanante
399,226,654,acompanante
400,227,612,titular
401,228,132,titular
402,229,557,titular
403,230,205,titular
404,230,363,acompanante
405,230,225,acompanante
406,230,217,acompanante
407,230,186,acompanante
408,231,294,titular
409,231,695,acompanante
410,232,461,titular
411,233,543,titular
412,234,509,titular
413,234,508,acompanante
414,234,169,acompanante
415,234,710,acompanante
416,235,279,titular
417,236,724,titular
418,237,448,titular
419,237,55,acompanante
420,238,117,titular
421,239,590,titular
422,239,123,acompanante
423,240,584,titular
424,240,169,acompanante
425,240,538,acompanante
426,241,117,titular
427,241,710,acompanante
428,242,229,titular
429,242,352,acompanante
430,243,501,titular
431,244,675,titular
432,244,141,acompanante
433,245,714,titular
434,245,75,acompanante
435,246,597,titular
436,247,607,titular
437,247,732,acompanante
438,248,185,titular
439,249,598,titular
440,249,655,acompanante
441,250,579,titular
442,250,64,acompanante
443,250,482,acompanante
444,250,332,acompanante
445,250,603,acompanante
446,251,747,titular
447,251,402,acompanante
448,252,455,titular
449,253,466,titular
450,253,119,acompanante
451,253,595,acompanante
452,254,532,titular
453,255,757,titular
454,255,223,acompanante
455,255,21,acompanante
456,255,760,acompanante
457,255,625,acompanante
458,256,632,titular
459,257,728,titular
460,258,249,titular
461,259,490,titular
462,260,578,titular
463,261,578,titular
464,262,195,titular
465,262,514,acompanante
466,263,456,titular
467,263,690,acompanante
468,264,727,titular
469,265,236,titular
470,265,471,acompanante
471,265,158,acompanante
472,265,526,acompanante
473,266,458,titular
474,266,102,acompanante
475,266,12,acompanante
476,266,571,acompanante
477,267,675,titular
478,268,142,titular
479,269,327,titular
480,269,141,acompanante
481,269,603,acompanante
482,269,46,acompanante
483,270,607,titular
484,271,148,titular
485,272,405,titular
486,273,198,titular
487,274,368,titular
488,274,379,acompanante
489,274,180,acompanante
490,274,155,acompanante
491,275,264,titular
492,275,326,acompanante
493,275,127,acompanante
494,276,30,titular
495,277,622,titular
496,277,288,acompanante
497,278,753,titular
498,279,182,titular
499,280,102,titular
500,280,448,acompanante
501,281,395,titular
502,281,638,acompanante
503,281,739,acompanante
504,282,245,titular
505,282,481,acompanante
506,282,154,acompanante
507,283,704,titular
508,284,579,titular
509,284,636,acompanante
510,285,190,titular
511,286,420,titular
512,287,477,titular
513,287,655,acompanante
514,288,539,titular
515,289,120,titular
516,289,226,acompanante
517,290,325,titular
518,291,250,titular
519,291,601,acompanante
520,292,304,titular
521,292,550,acompanante
522,292,47,acompanante
523,292,2,acompanante
524,292,565,acompanante
525,293,792,titular
526,293,344,acompanante
527,294,18,titular
528,295,276,titular
529,295,42,acompanante
530,296,601,titular
531,297,604,titular
532,298,85,titular
533,299,789,titular
534,299,710,acompanante
535,300,231,titular
536,301,622,titular
537,302,65,titular
538,303,774,titular
539,303,756,acompanante
540,303,266,acompanante
541,303,295,acompanante
542,304,670,titular
543,305,556,titular
544,305,211,acompanante
545,306,744,titular
546,306,782,acompanante
547,307,162,titular
548,307,436,acompanante
549,307,285,acompanante
550,307,706,acompanante
551,307,47,acompanante
552,308,145,titular
553,309,575,titular
554,310,283,titular
555,311,497,titular
556,312,553,titular
557,313,80,titular
558,314,253,titular
559,314,192,acompanante
560,315,509,titular
561,315,557,acompanante
562,316,613,titular
563,317,409,titular
564,318,197,titular
565,318,121,acompanante
566,318,219,acompanante
567,319,769,titular
568,319,124,acompanante
569,319,481,acompanante
570,319,387,acompanante
571,319,540,acompanante
572,319,59,acompanante
573,320,523,titular
574,321,313,titular
575,321,161,acompanante
576,321,415,acompanante
577,321,217,acompanante
578,322,781,titular
579,322,785,acompanante
580,323,75,titular
581,323,59,acompanante
582,324,22,titular
583,325,5,titular
584,325,463,acompanante
585,325,599,acompanante
586,325,498,acompanante
587,325,509,acompanante
588,325,488,acompanante
589,326,473,titular
590,327,764,titular
591,328,204,titular
592,329,231,titular
593,329,611,acompanante
594,330,238,titular
595,330,537,acompanante
596,331,771,titular
597,332,592,titular
598,332,419,acompanante
599,332,459,acompanante
600,332,426,acompanante
601,333,457,titular
602,333,624,acompanante
603,334,629,titular
604,335,587,titular
605,336,323,titular
606,337,648,titular
607,337,279,acompanante
608,337,696,acompanante
609,338,629,titular
610,339,764,titular
611,340,280,titular
612,340,594,acompanante
613,341,378,titular
614,341,420,acompanante
615,342,576,titular
616,343,118,titular
617,344,720,titular
618,344,106,acompanante
619,345,499,titular
620,345,640,acompanante
621,345,595,acompanante
622,345,74,acompanante
623,345,628,acompanante
624,346,646,titular
625,347,767,titular
626,348,277,titular
627,349,637,titular
628,349,114,acompanante
629,350,557,titular
630,350,570,acompanante
631,350,611,acompanante
632,351,696,titular
633,351,670,acompanante
634,351,601,acompanante
635,352,584,titular
636,353,516,titular
637,353,138,acompanante
638,353,421,acompanante
639,354,504,titular
640,355,799,titular
641,355,463,acompanante
642,355,378,acompanante
643,355,453,acompanante
644,356,583,titular
645,356,666,acompanante
646,356,604,acompanante
647,356,155,acompanante
648,357,530,titular
649,358,140,titular
650,359,246,titular
651,360,225,titular
652,361,414,titular
653,361,712,acompanante
654,362,679,titular
655,363,532,titular
656,364,603,titular
657,365,534,titular
658,365,494,acompanante
659,366,786,titular
660,366,407,acompanante
661,367,407,titular
662,368,704,titular
663,368,530,acompanante
664,369,81,titular
665,369,553,acompanante
666,370,760,titular
667,371,27,titular
668,371,437,acompanante
669,372,3,titular
670,373,729,titular
671,374,135,titular
672,374,169,acompanante
673,374,373,acompanante
674,375,175,titular
675,375,299,acompanante
676,376,279,titular
677,377,612,titular
678,377,553,acompanante
679,378,125,titular
680,378,31,acompanante
681,379,689,titular
682,380,10,titular
683,380,609,acompanante
684,380,241,acompanante
685,380,396,acompanante
686,381,288,titular
687,381,195,acompanante
688,382,208,titular
689,383,751,titular
690,383,680,acompanante
691,384,464,titular
692,385,495,titular
693,386,498,titular
694,386,513,acompanante
695,386,635,acompanante
696,386,267,acompanante
697,387,139,titular
698,388,507,titular
699,388,520,acompanante
700,388,633,acompanante
701,389,125,titular
702,390,463,titular
703,390,418,acompanante
704,391,699,titular
705,392,467,titular
706,392,96,acompanante
707,392,175,acompanante
708,393,143,titular
709,394,192,titular
710,395,275,titular
711,396,358,titular
712,396,204,acompanante
713,397,462,titular
714,398,361,titular
715,399,531,titular
716,400,293,titular
717,401,32,titular
718,402,59,titular
719,403,55,titular
720,403,741,acompanante
721,404,96,titular
722,405,699,titular
723,406,136,titular
724,407,173,titular
725,407,417,acompanante
726,408,209,titular
727,408,706,acompanante
728,409,135,titular
729,410,315,titular
730,410,380,acompanante
731,411,741,titular
732,411,686,acompanante
733,412,271,titular
734,413,436,titular
735,414,329,titular
736,415,31,titular
737,415,105,acompanante
738,415,170,acompanante
739,415,744,acompanante
740,416,62,titular
741,417,590,titular
742,418,125,titular
743,418,482,acompanante
744,419,227,titular
745,419,327,acompanante
746,419,741,acompanante
747,419,535,acompanante
748,419,800,acompanante
749,420,703,titular
750,420,48,acompanante
751,420,439,acompanante
752,420,169,acompanante
753,421,465,titular
754,421,696,acompanante
755,422,214,titular
756,422,466,acompanante
757,423,530,titular
758,424,6,titular
759,425,607,titular
760,425,26,acompanante
761,426,492,titular
762,426,136,acompanante
763,426,705,acompanante
764,427,667,titular
765,427,47,acompanante
766,428,41,titular
767,429,436,titular
768,430,535,titular
769,430,433,acompanante
770,431,251,titular
771,432,379,titular
772,433,522,titular
773,433,365,acompanante
774,434,333,titular
775,435,289,titular
776,435,615,acompanante
777,436,360,titular
778,437,269,titular
779,438,546,titular
780,439,526,titular
781,440,145,titular
782,440,715,acompanante
783,441,51,titular
784,441,546,acompanante
785,442,424,titular
786,442,363,acompanante
787,443,366,titular
788,444,354,titular
789,445,8,titular
790,446,438,titular
791,447,44,titular
792,447,469,acompanante
793,447,764,acompanante
794,448,156,titular
795,449,758,titular
796,449,157,acompanante
797,450,23,titular
798,450,437,acompanante
799,451,38,titular
800,452,471,titular
801,453,661,titular
802,454,67,titular
803,454,420,acompanante
804,454,182,acompanante
805,455,6,titular
806,455,660,acompanante
807,456,209,titular
808,457,563,titular
809,458,634,titular
810,459,113,titular
811,460,348,titular
812,460,707,acompanante
813,461,519,titular
814,461,143,acompanante
815,461,297,acompanante
816,461,679,acompanante
817,461,484,acompanante
818,462,790,titular
819,462,567,acompanante
820,463,598,titular
821,464,219,titular
822,465,395,titular
823,465,240,acompanante
824,466,415,titular
825,466,709,acompanante
826,467,625,titular
827,468,69,titular
828,468,179,acompanante
829,468,338,acompanante
830,468,98,acompanante
831,468,212,acompanante
832,469,773,titular
833,470,374,titular
834,471,764,titular
835,471,189,acompanante
836,472,10,titular
837,472,419,acompanante
838,473,379,titular
839,473,687,acompanante
840,474,158,titular
841,475,561,titular
842,476,671,titular
843,476,427,acompanante
844,477,564,titular
845,478,91,titular
846,478,50,acompanante
847,479,222,titular
848,480,418,titular
849,481,518,titular
850,482,45,titular
851,483,57,titular
852,483,519,acompanante
853,484,217,titular
854,485,56,titular
855,486,118,titular
856,487,541,titular
857,487,263,acompanante
858,487,644,acompanante
859,487,209,acompanante
860,488,467,titular
861,489,489,titular
862,490,472,titular
863,490,504,acompanante
864,490,234,acompanante
865,490,771,acompanante
866,491,724,titular
867,492,405,titular
868,493,303,titular
869,494,629,titular
870,495,327,titular
871,496,779,titular
872,497,29,titular
873,497,369,acompanante
874,498,192,titular
875,498,536,acompanante
876,498,373,acompanante
877,498,188,acompanante
878,499,279,titular
879,500,74,titular
880,501,98,titular
881,501,723,acompanante
882,502,758,titular
883,502,594,acompanante
884,503,604,titular
885,503,383,acompanante
886,503,113,acompanante
887,503,539,acompanante
888,504,211,titular
889,504,408,acompanante
890,505,21,titular
891,506,717,titular
892,507,593,titular
893,508,349,titular
894,509,184,titular
895,509,681,acompanante
896,510,24,titular
897,511,676,titular
898,512,644,titular
899,513,150,titular
900,514,107,titular
901,514,617,acompanante
902,514,137,acompanante
903,515,219,titular
904,516,513,titular
905,516,184,acompanante
906,516,224,acompanante
907,516,453,acompanante
908,516,135,acompanante
909,517,414,titular
910,518,501,titular
911,519,509,titular
912,520,174,titular
913,521,753,titular
914,522,173,titular
915,523,67,titular
916,524,281,titular
917,525,410,titular
918,526,105,titular
919,526,298,acompanante
920,527,528,titular
921,528,125,titular
922,528,735,acompanante
923,528,628,acompanante
924,528,471,acompanante
925,529,696,titular
926,529,448,acompanante
927,530,350,titular
928,530,559,acompanante
929,531,704,titular
930,532,491,titular
931,533,644,titular
932,534,46,titular
933,534,345,acompanante
934,534,29,acompanante
935,535,332,titular
936,536,566,titular
937,537,390,titular
938,537,413,acompanante
939,537,289,acompanante
940,538,501,titular
941,538,426,acompanante
942,539,248,titular
943,540,81,titular
944,540,607,acompanante
945,540,225,acompanante
946,540,649,acompanante
947,540,272,acompanante
948,541,432,titular
949,542,664,titular
950,543,403,titular
951,543,385,acompanante
952,544,267,titular
953,545,297,titular
954,545,283,acompanante
955,546,495,titular
956,547,78,titular
957,547,319,acompanante
958,548,263,titular
959,549,369,titular
960,550,761,titular
961,551,360,titular
962,552,540,titular
963,553,657,titular
964,554,473,titular
965,555,344,titular
966,555,695,acompanante
967,556,23,titular
968,557,107,titular
969,558,182,titular
970,559,358,titular
971,560,118,titular
972,560,576,acompanante
973,561,487,titular
974,561,243,acompanante
975,561,768,acompanante
976,562,59,titular
977,562,546,acompanante
978,563,500,titular
979,563,329,acompanante
980,563,668,acompanante
981,564,299,titular
982,565,189,titular
983,566,93,titular
984,566,175,acompanante
985,567,150,titular
986,568,359,titular
987,569,459,titular
988,569,394,acompanante
989,570,271,titular
990,570,181,acompanante
991,570,342,acompanante
992,570,420,acompanante
993,571,594,titular
994,572,270,titular
995,572,764,acompanante
996,573,156,titular
997,573,71,acompanante
998,574,259,titular
999,574,768,acompanante
1000,575,730,titular
1001,576,401,titular
1002,577,721,titular
1003,578,457,titular
1004,579,494,titular
1005,579,779,acompanante
1006,580,768,titular
1007,580,601,acompanante
1008,581,247,titular
1009,582,477,titular
1010,583,271,titular
1011,584,584,titular
1012,584,91,acompanante
1013,585,579,titular
1014,586,677,titular
1015,587,461,titular
1016,587,179,acompanante
1017,587,603,acompanante
1018,588,447,titular
1019,588,167,acompanante
1020,588,415,acompanante
1021,589,629,titular
1022,589,666,acompanante
1023,590,374,titular
1024,591,12,titular
1025,591,463,acompanante
1026,592,472,titular
1027,592,710,acompanante
1028,593,564,titular
1029,593,649,acompanante
1030,593,795,acompanante
1031,593,55,acompanante
1032,594,309,titular
1033,595,769,titular
1034,595,38,acompanante
1035,595,354,acompanante
1036,595,532,acompanante
1037,596,178,titular
1038,596,13,acompanante
1039,597,120,titular
1040,597,82,acompanante
1041,597,177,acompanante
1042,597,155,acompanante
1043,597,619,acompanante
1044,598,500,titular
1045,599,681,titular
1046,600,385,titular
1047,600,354,acompanante
1048,601,143,titular
1049,602,761,titular
1050,602,533,acompanante
1051,602,477,acompanante
1052,602,394,acompanante
1053,603,352,titular
1054,603,155,acompanante
1055,604,362,titular
1056,605,295,titular
1057,605,475,acompanante
1058,605,543,acompanante
1059,606,656,titular
1060,606,533,acompanante
1061,606,634,acompanante
1062,606,425,acompanante
1063,607,287,titular
1064,607,27,acompanante
1065,607,682,acompanante
1066,607,302,acompanante
1067,608,312,titular
1068,608,551,acompanante
1069,608,180,acompanante
1070,609,206,titular
1071,610,298,titular
1072,610,563,acompanante
1073,611,488,titular
1074,611,635,acompanante
1075,612,18,titular
1076,613,566,titular
1077,613,91,acompanante
1078,614,439,titular
1079,615,534,titular
1080,616,200,titular
1081,616,76,acompanante
1082,617,697,titular
1083,618,686,titular
1084,619,186,titular
1085,620,717,titular
1086,621,96,titular
1087,621,601,acompanante
1088,621,109,acompanante
1089,621,785,acompanante
1090,622,46,titular
1091,622,121,acompanante
1092,623,705,titular
1093,624,209,titular
1094,624,131,acompanante
1095,624,338,acompanante
1096,624,717,acompanante
1097,625,36,titular
1098,626,551,titular
1099,626,372,acompanante
1100,626,795,acompanante
1101,627,512,titular
1102,628,314,titular
1103,628,564,acompanante
1104,628,491,acompanante
1105,628,406,acompanante
1106,629,764,titular
1107,629,420,acompanante
1108,630,264,titular
1109,630,642,acompanante
1110,630,482,acompanante
1111,631,548,titular
1112,631,44,acompanante
1113,631,284,acompanante
1114,632,660,titular
1115,632,93,acompanante
1116,632,411,acompanante
1117,632,784,acompanante
1118,633,118,titular
1119,634,222,titular
1120,634,148,acompanante
1121,635,33,titular
1122,635,125,acompanante
1123,636,265,titular
1124,637,669,titular
1125,637,146,acompanante
1126,638,167,titular
1127,639,668,titular
1128,639,46,acompanante
1129,639,393,acompanante
1130,639,514,acompanante
1131,640,130,titular
1132,640,499,acompanante
1133,641,239,titular
1134,642,287,titular
1135,643,529,titular
1136,644,632,titular
1137,644,625,acompanante
1138,645,670,titular
1139,646,526,titular
1140,647,569,titular
1141,648,459,titular
1142,649,696,titular
1143,649,432,acompanante
1144,649,441,acompanante
1145,649,551,acompanante
1146,649,674,acompanante
1147,649,203,acompanante
1148,650,348,titular
1149,650,290,acompanante
1150,651,337,titular
1151,651,642,acompanante
1152,651,715,acompanante
1153,651,708,acompanante
1154,651,412,acompanante
1155,651,551,acompanante
1156,652,22,titular
1157,652,649,acompanante
1158,653,422,titular
1159,653,329,acompanante
1160,653,415,acompanante
1161,654,772,titular
1162,655,610,titular
1163,656,180,titular
1164,657,757,titular
1165,658,483,titular
1166,659,501,titular
1167,660,457,titular
1168,660,372,acompanante
1169,661,298,titular
1170,662,240,titular
1171,662,149,acompanante
1172,662,488,acompanante
1173,663,12,titular
1174,664,137,titular
1175,664,634,acompanante
1176,664,15,acompanante
1177,664,303,acompanante
1178,664,466,acompanante
1179,665,636,titular
1180,665,281,acompanante
1181,666,86,titular
1182,666,420,acompanante
1183,666,512,acompanante
1184,667,48,titular
1185,667,294,acompanante
1186,667,601,acompanante
1187,668,85,titular
1188,669,217,titular
1189,669,440,acompanante
1190,669,59,acompanante
1191,670,425,titular
1192,670,501,acompanante
1193,671,744,titular
1194,672,106,titular
1195,672,454,acompanante
1196,672,701,acompanante
1197,672,473,acompanante
1198,672,772,acompanante
1199,673,35,titular
1200,674,501,titular
1201,675,33,titular
1202,676,691,titular
1203,677,238,titular
1204,678,8,titular
1205,678,480,acompanante
1206,679,239,titular
1207,680,740,titular
1208,681,473,titular
1209,682,26,titular
1210,682,78,acompanante
1211,682,241,acompanante
1212,683,250,titular
1213,684,516,titular
1214,685,386,titular
1215,686,628,titular
1216,686,599,acompanante
1217,686,735,acompanante
1218,687,496,titular
1219,687,627,acompanante
1220,688,410,titular
1221,688,454,acompanante
1222,688,17,acompanante
1223,688,418,acompanante
1224,689,413,titular
1225,690,723,titular
1226,690,785,acompanante
1227,691,759,titular
1228,692,780,titular
1229,693,313,titular
1230,693,561,acompanante
1231,693,717,acompanante
1232,693,487,acompanante
1233,694,170,titular
1234,694,231,acompanante
1235,695,123,titular
1236,696,458,titular
1237,696,628,acompanante
1238,697,138,titular
1239,697,53,acompanante
1240,698,372,titular
1241,699,398,titular
1242,699,181,acompanante
1243,700,206,titular
1244,700,619,acompanante
1245,700,420,acompanante
1246,701,423,titular
1247,701,767,acompanante
1248,702,161,titular
1249,703,597,titular
1250,703,428,acompanante
1251,704,497,titular
1252,704,219,acompanante
1253,704,224,acompanante
1254,704,433,acompanante
1255,705,217,titular
1256,705,246,acompanante
1257,706,699,titular
1258,706,338,acompanante
1259,707,3,titular
1260,707,81,acompanante
1261,708,168,titular
1262,708,299,acompanante
1263,708,158,acompanante
1264,708,180,acompanante
1265,708,31,acompanante
1266,709,162,titular
1267,710,782,titular
1268,710,135,acompanante
1269,711,96,titular
1270,711,112,acompanante
1271,712,245,titular
1272,713,469,titular
1273,714,688,titular
1274,714,19,acompanante
1275,715,446,titular
1276,716,205,titular
1277,717,305,titular
1278,718,44,titular
1279,719,62,titular
1280,720,599,titular
1281,721,544,titular
1282,721,605,acompanante
1283,721,33,acompanante
1284,722,533,titular
1285,723,682,titular
1286,723,309,acompanante
1287,724,289,titular
1288,724,226,acompanante
1289,725,204,titular
1290,725,169,acompanante
1291,725,29,acompanante
1292,725,267,acompanante
1293,725,569,acompanante
1294,725,58,acompanante
1295,726,383,titular
1296,727,108,titular
1297,727,608,acompanante
1298,727,714,acompanante
1299,727,341,acompanante
1300,727,204,acompanante
1301,728,679,titular
1302,729,225,titular
1303,730,167,titular
1304,731,674,titular
1305,732,118,titular
1306,732,507,acompanante
1307,732,626,acompanante
1308,733,661,titular
1309,734,257,titular
1310,734,785,acompanante
1311,735,28,titular
1312,735,166,acompanante
1313,736,532,titular
1314,737,325,titular
1315,738,512,titular
1316,739,519,titular
1317,740,184,titular
1318,740,523,acompanante
1319,741,586,titular
1320,742,93,titular
1321,743,562,titular
1322,743,207,acompanante
1323,743,457,acompanante
1324,743,334,acompanante
1325,743,623,acompanante
1326,743,217,acompanante
1327,744,363,titular
1328,745,549,titular
1329,746,299,titular
1330,747,338,titular
1331,747,285,acompanante
1332,748,14,titular
1333,748,768,acompanante
1334,748,125,acompanante
1335,748,624,acompanante
1336,748,80,acompanante
1337,748,489,acompanante
1338,749,577,titular
1339,750,297,titular
1340,751,251,titular
1341,751,198,acompanante
1342,752,71,titular
1343,752,468,acompanante
1344,752,140,acompanante
1345,752,51,acompanante
1346,753,475,titular
1347,754,588,titular
1348,755,412,titular
1349,756,359,titular
1350,756,121,acompanante
1351,757,17,titular
1352,758,553,titular
1353,759,88,titular
1354,760,455,titular
1355,761,372,titular
1356,762,503,titular
1357,762,211,acompanante
1358,762,264,acompanante
1359,762,166,acompanante
1360,763,572,titular
1361,763,356,acompanante
1362,763,6,acompanante
1363,764,195,titular
1364,764,107,acompanante
1365,765,108,titular
1366,766,681,titular
1367,767,570,titular
1368,768,399,titular
1369,769,407,titular
1370,770,67,titular
1371,771,383,titular
1372,771,145,acompanante
1373,771,4,acompanante
1374,771,352,acompanante
